"Department","Category","Subcategory","Item"
"","Office Stationery",,"LEBEL"
"Maintenance Dept.","Electrical","General","LED driver 5 amp"
"Maintenance Dept.","Electrical","Emergency Light","LED Emergency Light"
"Maintenance Dept.","Electrical","Tubelight","LED FITTING TUBELIGHT"
"Maintenance Dept.","Electrical","General","LED strip Blue"
"Maintenance Dept.","Electrical","Lamp","LED STRIP LIGHT"
"Store Dept.","Madhusthali","Madhusthali items","LEFLEAT (14 - 15)"
"Store Dept.","Uniform","Karate","LEG GARD"
"Store Dept.","Printing & Stationary","Paper","LEGAL SIZE PAPER"
"Store Dept.","Food & Beverage","Staff welfare","LEMON TEA"
"Store Dept.","Printing & Stationary","Classrooms","LESS ( ART & CRAFT ) BIPUL SIR"
"Store Dept.","Decoration","General","LESS FOR ART AND CRAFT (BIPUL SIR)"
"Store Dept.","Madhusthali","Madhusthali items","LETTER HEAD BIG (M.V. COLLEGE)"
"Store Dept.","Madhusthali","Madhusthali items","LETTER HEAD SMALL (M.V. COLLEGE)"
"Store Dept.","Printing & Stationary","Office Stationeries","LETTER PAD (BIG)"
"Store Dept.","Madhusthali","Madhusthali items","LETTER PAD BIG (Madhusthali)"
"","Madhusthali",,"LETTER PAD BIG (MCKCT)"
"Store Dept.","Madhusthali","Madhusthali items","LETTER PAD SMALL (Madhusthali)"
"Store Dept.","Madhusthali","Madhusthali items","LETTER PAD TRUST"
"Store Dept.","Printing & Stationary","Office Stationeries","LETTER PAD(Small)"
"Store Dept.","Madhusthali","Madhusthali items","LIBRARY BOOK CARD M V COLLEGE"
"Store Dept.","Madhusthali","Madhusthali items","LIBRARY BOOK COVER M V COLLEGE"
"Store Dept.","Printing & Stationary","Office Stationeries","LIBRARY CARD"
"Store Dept.","Printing & Stationary","Office Stationeries","LIBRARY CARD COVER"
"Store Dept.","Printing & Stationary","Office Stationeries","LIBRARY CARD PAPER COVER"
"Store Dept.","Madhusthali","Madhusthali items","LIBRARY REGISTER M V COLLEGE"
"Store Dept.","Madhusthali","Madhusthali items","LIBRARY SLIP PAD"
"Store Dept.","Flag and Banner","Houses","LIFE IS IMPORTANT FOR ALL"
"Store Dept.","Flag and Banner","Houses","LIGHT UP THE FESTIVAL"
"Store Dept.","Accessories","General","LIGHTHANGING"
"Maintenance Dept.","House Keeping","Cleaning","LIQUID CLEANER"
"Store Dept.","Maintenance","Locks","LOCK & KEY (BIG)"
"Store Dept.","Maintenance","Locks","LOCK & KEY (SMALL)"
"Store Dept.","Gift","General","LOCK FOLDER"
"Store Dept.","Printing & Stationary","Classrooms","LOGIC STACKING (PLAY)"
"Store Dept.","Food & Beverage","Staff welfare","LOLLY PUP"
"Store Dept.","Flag and Banner","Houses","LONG WHITE CLOTH"
"Store Dept.","Stationary","Saleable","LOOSE PRACTICAL COPY"
"Store Dept.","Madhusthali","Madhusthali items","LOOSE PRACTICAL COPY (M.V.)"
"Store Dept.","Stationary","Saleable","LOOSE PRACTICAL COVER"
"Store Dept.","Printing & Stationary","Paper","LOOSE SINGLE LINE PAPER"
"Store Dept.","Printing & Stationary","Office Stationeries","LUDO GUTE"
"Store Dept.","Gift","General","LUNCH PACK -CELLO (FULL ON)"
"Maintenance Dept.","Plumbing","General","M-Seal"
"Store Dept.","Decoration","General","MACKUP KITS"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI ( RED BAG)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI BIG ENVELOPE (MITT)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI BROWSER (2017-2018)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI BUZZ (NEW)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI C D"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI ENVELOPE (NEW) (AS)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI ENVELOPE (OLD) (AS)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI LEAFLATE (16-17)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI MONEY  RECIPTS (MITT)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI OUT PASS"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI PROSPECTUS (2017-2018)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI PROSPECTUS (AS)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI REGISTRATION FORM (17-18)"
"","Madhusthali",,"MADHUSTHALI REQUEST FROM (AS)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI ROAD CHALLAN"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI STAFF GET PASS"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI STUDENT DIARY (14-15)"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHALI SUDENTS GET PASS"
"Store Dept.","Flag and Banner","Houses","MADHUSTHALI VIDYAPEETH"
"Store Dept.","Flag and Banner","Houses","MADHUSTHALI VIDYAPEETH BANNER"
"Store Dept.","Madhusthali","Madhusthali items","MADHUSTHLI BALL PEN"
"Store Dept.","Printing & Stationary","Office Stationeries","MADLE (FOR SPORTS)"
"Store Dept.","Madhusthali","Madhusthali items","MADUSTHALI MONEY RECEIPT"
"Store Dept.","Madhusthali","Madhusthali items","MADUSTHALI TC PASS"
"Store Dept.","Madhusthali","Madhusthali items","MADUSTHLI PROSPECTUS SMALL"
"Store Dept.","Printing & Stationary","Office Stationeries","MAGAZINE (2014)"
"Store Dept.","Printing & Stationary","Office Stationeries","MAGAZINE (2015)"
"Store Dept.","Madhusthali","Madhusthali items","MAGAZINE (2017 -2018)"
"Store Dept.","Printing & Stationary","Office Stationeries","MAGAZINE (2017)"
"Store Dept.","Printing & Stationary","Office Stationeries","MAGAZINE (OLD) 10YEARS CELEBRATION"
"Store Dept.","Printing & Stationary","Office Stationeries","MAGAZINE - (2016)"
"Maintenance Dept.","Electrical","General","Mannual Changeover 100 amp"
"","Office Stationery",,"MAP STAND STEEL"
"Store Dept.","Printing & Stationary","Paper","MARBEL PAPER (DIFFERENT)"
"Store Dept.","Accessories","General","MASAL"
"Store Dept.","Decoration","General","MASK"
"Store Dept.","Printing & Stationary","Tapes","MASKING TAPE (FOR SUPW)"
"Store Dept.","Printing & Stationary","Classrooms","MAT FOR JUNIOR SECTION"
"Store Dept.","Decoration","General","MATCH BOX"
"Store Dept.","Accessories","General","MATH LAB BOX (EMTY)"
"","Accessories",,"MATH LAB DUPLICAT KEY"
"Store Dept.","Flag and Banner","Houses","MATHEMATIC SEMINAR"
"Store Dept.","Flag and Banner","General","MAY I HELP YOU"
"Store Dept.","Printing & Stationary","Office Stationeries","MAY I HELP YOU (SASH)"
"Maintenance Dept.","Electrical","MCB'S","MCB (10 AMP)"
"Maintenance Dept.","Electrical","MCB'S","MCB (16 AMP)"
"","Electrical",,"MCB (16 AMP) 2 POLE"
"Maintenance Dept.","Electrical","MCB'S","MCB (20 AMP)"
"Maintenance Dept.","Electrical","MCB'S","MCB (32 AMP)"
"","Electrical",,"MCB (32 AMP) 3 POLE"
"Maintenance Dept.","Electrical","MCB'S","MCB (40 AMP) 4 POLE"
"Maintenance Dept.","Electrical","MCB'S","MCB (6 AMP)"
"Maintenance Dept.","Electrical","MCB'S","MCB 25 amp"
"Maintenance Dept.","Electrical","MCB'S","MCB 63 amp 3 pole"
"Maintenance Dept.","Electrical","MCB'S","MCB 80 WT 4 POLE"
"Store Dept.","Printing & Stationary","Office Stationeries","MCKV"
"Store Dept.","Flag and Banner","Houses","MCKV (INTERACT CLUB) PODIUM"
"Store Dept.","Flag and Banner","Houses","MCKV (ISA)"
"Store Dept.","Flag and Banner","Houses","MCKV (RESONANCE CLUB)"
"Store Dept.","Flag and Banner","Houses","MCKV ADDRESS BANER (BLUE)"
"Store Dept.","Badges","MCKV","MCKV BADGE"
"Store Dept.","Card and Certificate","Activities","MCKV EXTRA ACTIVITY CARD"
"Store Dept.","Flag and Banner","Houses","MCKV GROUP BANNER"
"Store Dept.","Printing & Stationary","Office Stationeries","MCKV GROUP LIFLATE (NEW)"
"Store Dept.","Flag and Banner","Houses","MCKV HELTH BANNER"
"Store Dept.","Flag and Banner","Houses","MCKV INTERACT CLUB BANNER (BIG)"
"Store Dept.","Gift","General","MCKV MEMENTO"
"Store Dept.","Printing & Stationary","Admissions","MCKV PROSPECTUS (13- 14)"
"Store Dept.","Printing & Stationary","Admissions","MCKV PROSPECTUS (14-15)"
"Store Dept.","Printing & Stationary","Admissions","MCKV PROSPECTUS (15-16)"
"Store Dept.","Printing & Stationary","Admissions","MCKV PROSPECTUS (16-17)"
"Store Dept.","Printing & Stationary","Admissions","MCKV PROSPECTUS (CURRENT, XI)"
"Store Dept.","Printing & Stationary","Office Stationeries","MCKV ROAD CHALLAN / GATE PASS"
"Store Dept.","Dress & Cloth","Caps","MCKV STAFF CAP"
"Store Dept.","Flag and Banner","Houses","MCKV STAFF PICNIC (NEW)"
"","STAMP",,"MCKV STAMP"
"Store Dept.","Gift","General","MCKVIE WATCH STAND"
"","Accessories",,"MEASURING TAPE"
"Store Dept.","Printing & Stationary","Office Stationeries","Mechanical Pencil (0.5)"
"Store Dept.","Gift","General","MEDEL BRONZ"
"Store Dept.","Gift","General","MEDEL GOLDEN"
"Store Dept.","Gift","General","MEDEL SILVER"
"Store Dept.","Card and Certificate","Medical","MEDICAL FORM"
"Store Dept.","Madhusthali","Madhusthali items","MEDICAL FORM (AS)"
"","Decoration",,"MEDIUM (FOR COLOUR LEQUIT)"
"Store Dept.","Dress & Cloth","Blankets","MEDIUM SOFT BLANKET (BIG)"
"Store Dept.","Gift","General","MELODY FROM LAOPALA ( 20pcs)"
"Store Dept.","Gift","General","MEMENTO (NEW)"
"Store Dept.","Gift","General","MEMENTO TTIS AAKASH"
"Store Dept.","Gift","General","Mementos (Icse)"
"Store Dept.","Gift","General","Mementos (Wooden)"
"Store Dept.","Printing & Stationary","Office Stationeries","METALIC COLOUR BIG (SILVER)"
"Store Dept.","Printing & Stationary","Office Stationeries","METALIC COLOUR SMALL (GOLDEN)"
"Store Dept.","Maintenance","Battery","MICROPHONE BATTERY"
"Store Dept.","Gift","General","MILTON CASSEROLE HOTPOT DOUBLE"
"Store Dept.","Gift","General","MILTON CASSEROLE HOTPOT SINGLE"
"Store Dept.","Food & Beverage","Staff welfare","MINERAL WATER 1/2 LTR."
"Store Dept.","Food & Beverage","Staff welfare","MINERAL WATER 1/4"
"Store Dept.","Food & Beverage","Staff welfare","MINERAL WATER 1LTR"
"Store Dept.","Decoration","General","MIRROR OF PEACE"
"","Gift",,"MOBILE HOLDER"
"","Electrical",,"MODEL BOX 10 CONCIL"
"","Electrical",,"MODEL BOX 10 SURFACE"
"","Electrical",,"MODEL BOX 12 CONCIL"
"","Electrical",,"MODEL BOX 12 SURFACE"
"","Electrical",,"MODEL BOX 2 CONCIL"
"","Electrical",,"MODEL BOX 2 SURFACE"
"","Electrical",,"MODEL BOX 4 CONCIL"
"","Electrical",,"MODEL BOX 4 SURFACE"
"","Electrical",,"MODEL BOX 6 CONCIL"
"","Electrical",,"MODEL BOX 6 SURFACE"
"","Electrical",,"MODEL BOX 8 CONCIL"
"","Electrical",,"MODEL BOX 8 SURFACE"
"","Electrical",,"MODELPLATE 12"
"","Electrical",,"MODELPLATE 4"
"","Electrical",,"MODELPLATE 6"
"","Electrical",,"MODELPLATE 8"
"Store Dept.","Gift","General","MONEY BAG"
"Store Dept.","Madhusthali","Madhusthali items","MONEY RECIPT (COLLEGE.)"
"Store Dept.","Badges","Monitor","MONITOR BADGE (NEW)"
"Store Dept.","Badges","Monitor","MONITOR BADGE ASST."
"","Office Stationery",,"MONT RED BAG"
"Store Dept.","Accessories","Saleable","MONT RED BAG"
"Store Dept.","Stationary","Saleable","MONT. JUTE BAG"
"Store Dept.","Card and Certificate","Reports Cards","MONT. REPORT CARD (NEW)"
"","Flag and Banner",,"MONTESSORI A/B TODDLERS RACE"
"Maintenance Dept.","House Keeping","Cleaning","Mosquito KIller With Machine"
"Store Dept.","Printing & Stationary","Office Stationeries","MOUNT BOARD"
"Store Dept.","Decoration","General","MUKUT"
"Store Dept.","Gift","General","MULTI COOKER (SMALL)"
"Store Dept.","Printing & Stationary","Classrooms","MULTI FUNCTIONAL ACTIVITY"
"Store Dept.","Gift","General","MULTIPLE COOKER"
"Store Dept.","Printing & Stationary","Office Stationeries","MULTIPLE STAND (PEN STAND)"
"Store Dept.","Accessories","General","MULTIPURPOSE LOCK"
"Store Dept.","Food & Beverage","Staff welfare","MUNCH (NESTLE)"
"Maintenance Dept.","House Keeping","Cleaning","MURITIC ACID"
"","Decoration",,"MURKS"
"Store Dept.","Gift","General","NAMABALI"
"Store Dept.","Printing & Stationary","Office Stationeries","NAME CARD HOLDER"
"Store Dept.","Printing & Stationary","Office Stationeries","NAME PLATE (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","NAME PLATE (BOTH SIDE)"
"Store Dept.","Printing & Stationary","Office Stationeries","NAME PLATE MEDIUM"
"Store Dept.","Printing & Stationary","Office Stationeries","NAME PLATE SMALL"
"Store Dept.","Accessories","General","NAPKIN  (TISSUE)"
"Maintenance Dept.","House Keeping","Cleaning","NAPTHOLIN"
"Store Dept.","Flag and Banner","Houses","NCC FLAG (BIG)"
"Store Dept.","Flag and Banner","Houses","NCC FLAG (SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","NEEDLE"
"","Food & Beverage",,"NESTLE (KITKAT)"
"Store Dept.","Bag","General","NET BAG"
"","Gift",,"NEW SHAREE"
"Store Dept.","Decoration","General","NEW TABLE COVER BIG (RED)"
"Store Dept.","Decoration","General","NEW TABLE COVER BIG (WHITE)"
"Maintenance Dept.","Electrical","Bulbs","Night Lamp 10wt"
"Store Dept.","Printing & Stationary","Office Stationeries","NIGHT SCHOOL COPY"
"Store Dept.","Dress & Cloth","Shoes","NIGHT SCHOOL SHOES"
"Maintenance Dept.","House Keeping","Cleaning","NILON BRUSH"
"Store Dept.","Flag and Banner","Houses","NO HORN BANNER"
"Store Dept.","Gift","General","NON STICK FRY PAN & GRIDDLE (TWO PICE)HAVELLS"
"Store Dept.","Gift","General","NORMAL CAMERA"
"Maintenance Dept.","Electrical","Switches & Holders","North-West Switch"
"Store Dept.","Printing & Stationary","Office Stationeries","NOTE BOOK"
"Store Dept.","Printing & Stationary","Office Stationeries","NOTE PAD (MCKV GROUP)"
"Store Dept.","Printing & Stationary","Office Stationeries","NOTE PAD (MCKV)"
"Store Dept.","Printing & Stationary","Office Stationeries","NUMBERING STAMP"
"","Accessories",,"NUMERALS &  COUNTERS IN BOX (FOR MONT)"
"Store Dept.","Stationary","Saleable","NUR BLUE BAG"
"Store Dept.","Card and Certificate","Reports Cards","NUR. REPORT CARD"
"Maintenance Dept.","Electrical","Bolts,Pins & Sockets","NUT BOLT"
"Store Dept.","Printing & Stationary","Office Stationeries","O H P SHEET"
"Maintenance Dept.","House Keeping","Cleaning","ODONIL"
"Store Dept.","Gift","General","OFFICE BAG"
"Store Dept.","Printing & Stationary","Files & Folders","OFFICE FILE (BLUE)"
"Store Dept.","Printing & Stationary","Files & Folders","OFFICE FILE (GREEN)"
"Store Dept.","Printing & Stationary","Files & Folders","OFFICE FILE (PINK)"
"Store Dept.","Printing & Stationary","Files & Folders","OFFICE FILE (YELLOW)"
"","File and Folder",,"OFFICE FILES (Blue)"
"","File and Folder",,"OFFICE FILES (Green)"
"","File and Folder",,"OFFICE FILES (Pink)"
"Store Dept.","Printing & Stationary","Files & Folders","OFFICE FLAT FILE (BIG)"
"","Gift",,"OFFICE JUTE BAG"
"Store Dept.","Printing & Stationary","Office Stationeries","OFFICE PRINTER 1600 (RICOH) TONNER"
"Store Dept.","Printing & Stationary","Office Stationeries","OFFICE PRINTER TONNER (OLD)"
"Store Dept.","Printing & Stationary","Colours","OIL PAINT"
"Store Dept.","Printing & Stationary","Paper","Origami paper"
"Store Dept.","Flag and Banner","Houses","OTHER FLAG (BRAZIL)"
"Store Dept.","Printing & Stationary","Colours","OUTLINER COLOUR (DIF) 3D"
"Maintenance Dept.","Plumbing","General","OVERHEAD SHOWER"
"Maintenance Dept.","Plumbing","General","OXALIC ACID"
"Maintenance Dept.","Plumbing","General","P Trap 4'"
"","Electrical",,"P. L. LAMP (11 W)"
"","Electrical",,"P. L. LAMP (13 W)"
"","Electrical",,"P. L. LAMP (18 W)"
"","Electrical",,"P. L. LAMP (9 W)"
"Maintenance Dept.","Electrical","Lamp","P.L. 2 PIN (18 W)"
"Maintenance Dept.","Electrical","Lamp","P.L. 4 PIN (18 W)"
"","Electrical",,"P.L. CONCIL FITTING (18 W)"
"Maintenance Dept.","Electrical","Bulbs","P.L. LAMP 36 W (4 pin)"
"","Electrical",,"P.L. SURFACE FITTING (18 W)"
"Store Dept.","Printing & Stationary","Office Stationeries","PACKING CLOTH BAG (EXAM)"
"Store Dept.","Printing & Stationary","Paper","PACKING PAPER"
"Store Dept.","Madhusthali","Madhusthali items","PALATE (FOR COLOUR) MV"
"Store Dept.","Stationary","Saleable","PALATE FOR COLOUR"
"Maintenance Dept.","Plumbing","Pipes","Pan Flush Pipe"
"Store Dept.","Printing & Stationary","Office Stationeries","PAPER CUTTER (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","PAPER CUTTER (SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","PAPER CUTTER BLADE (BIG)"
"Store Dept.","Food & Beverage","Staff welfare","PAPER GLASS"
"Store Dept.","Food & Beverage","Staff welfare","PAPER PLATE (BIG)"
"Store Dept.","Food & Beverage","Staff welfare","PAPER PLATE (MEDIUM)"
"Store Dept.","Food & Beverage","Staff welfare","PAPER PLATE (SMALL)"
"Store Dept.","Decoration","General","PAPER STRIMER"
"Store Dept.","Printing & Stationary","Office Stationeries","PAPER WEIGHT"
"Store Dept.","Gift","General","PAPER WEIGHT (MCKV GROUP)"
"Store Dept.","Flag and Banner","Houses","PARENTS DAY CELEBRATION"
"Store Dept.","Flag and Banner","Houses","PARENTS OPEN HOUSE BANNER"
"Store Dept.","Gift","General","PARKER PEN SET"
"Maintenance Dept.","Plumbing","General","Parris"
"Store Dept.","Printing & Stationary","Office Stationeries","PARTY POMPER"
"Store Dept.","Printing & Stationary","Paper","PASTLE PAPER SMALL (DEFE.)"
"Store Dept.","Decoration","General","PEACOCK FEATHERS"
"Store Dept.","Decoration","General","PEG"
"","Gift",,"PEN"
"Store Dept.","Madhusthali","Madhusthali items","PEN (COLLEGE)"
"Store Dept.","Gift","General","PEN (DIFE.)"
"","Gift",,"PEN (JINHAO)"
"Store Dept.","Gift","General","PEN (PARKER)"
"Store Dept.","Printing & Stationary","Office Stationeries","PEN DRIVE"
"","Gift",,"PEN DRIVE WITH KEY RING"
"Store Dept.","Gift","General","PEN FOR GIFT"
"Store Dept.","Gift","General","PEN FOR GIFT"
"Store Dept.","Gift","General","PEN STAND"
"Store Dept.","Gift","General","PEN STAND (WOODEN)"
"Store Dept.","Gift","General","PEN STAND WITH WATCH (MCKV)"
"Store Dept.","Printing & Stationary","Office Stationeries","PENCIL"
"Store Dept.","Gift","General","PENCIL ( V. DAYAL)"
"Store Dept.","Stationary","Saleable","PENCIL (LINE MARK)"
"Store Dept.","Maintenance","Battery","PENCIL BATTERY (AA)"
"Store Dept.","Maintenance","Battery","PENCIL BATTERY (AAA)"
"Store Dept.","Printing & Stationary","Office Stationeries","PENCIL BOX"
"Store Dept.","Gift","General","PENCIL SET"
"Store Dept.","Printing & Stationary","Pens","PENCIL WITH PEN"
"Store Dept.","Card and Certificate","Attendance","PERFECT ATTENDENCE CERTIFICATE"
"Store Dept.","Food & Beverage","Staff welfare","PERK CADBUR"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER INK (BLACK)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER INK (BLUE)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER INK (GREEN)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER INK (RED)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER PEN (BLACK)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER PEN (BLUE)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER PEN (GREEN)"
"Store Dept.","Printing & Stationary","Pens","PERMANENT MARKER PEN (RED)"
"Store Dept.","Gift","General","PHOTO"
"Store Dept.","Gift","General","PHOTO (GANESH JI)"
"Store Dept.","Gift","General","PHOTO FAME"
"","Gift",,"PHOTO FRAME"
"Store Dept.","Gift","General","PHOTO STAND WITH CLOCK"
"Store Dept.","Dress & Cloth","Jackets","PHOTOGRAPHY JACKET"
"","Decoration",,"PHYNOIL (CITRONLLA OIL)"
"","Decoration",,"PHYNOIL (LIQUID SOAP)"
"","Decoration",,"PHYNOIL (PAYNE OIL)"
"","Decoration",,"PHYNOIL (TWEEN 80)"
"","Decoration",,"PICH BOARD"
"Store Dept.","Accessories","General","PICHKARI BIG"
"Store Dept.","Accessories","General","PICHKARI SMALL"
"Store Dept.","Printing & Stationary","Pins & Clips","PINS & CLIPS DISPENSER"
"","Electrical",,"PL FITTING (36 W) 2/2 FT"
"Maintenance Dept.","Electrical","Lamp","PL Lamp"
"Store Dept.","Printing & Stationary","Office Stationeries","PLAIN BOARD DUSTER"
"Store Dept.","Stationary","Saleable","PLAIN COPY (32 PAGES)"
"Store Dept.","Stationary","Saleable","PLAIN COPY (NEW- 64 PAGES)"
"Store Dept.","Stationary","Saleable","PLAIN DRAWING COPY"
"","Decoration",,"PLASTIC BALL"
"","Decoration",,"PLASTIC BLOW WHISTEL"
"Store Dept.","Printing & Stationary","Office Stationeries","PLASTIC BOARD CLIP"
"Store Dept.","Accessories","General","PLASTIC BOWL SMALL"
"Store Dept.","Accessories","General","PLASTIC BOWL WITH LID"
"","Accessories",,"PLASTIC BROOM (FOR MONT)"
"Store Dept.","Decoration","General","PLASTIC CLOTH CLIP"
"Store Dept.","Accessories","General","Plastic cloth clip"
"Store Dept.","Gift","General","PLASTIC CONTENER SET"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC COVER FOLDER"
"Store Dept.","Madhusthali","Madhusthali items","PLASTIC COVER FOLDER (COLLEGE)"
"Store Dept.","Printing & Stationary","Office Stationeries","PLASTIC COVER OF ACTIVITY CARD"
"Store Dept.","Food & Beverage","Staff welfare","PLASTIC CUP"
"","Accessories",,"PLASTIC DUSTBIN WITH LIDE (FOR MONT)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE (BLACK)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (BLACK)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (BLUE)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE (BLUE)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE (FLUROCENT GREEN)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (GREEN)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (GREEN)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE (GREY)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (GREY)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE (PINK)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE (PINK)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE BLUE (SMALL)"
"Store Dept.","Stationary","Saleable","PLASTIC FILE GREEN SMALL"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE PRINTED INDEX SHEET"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FILE RED"
"","House Keeping",,"PLASTIC FLOWER POT (MEDIUM)"
"","House Keeping",,"PLASTIC FLOWER POT (SMALL)"
"Store Dept.","Madhusthali","Madhusthali items","PLASTIC FOLDER (M.V. COLLEGE)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FOLDER (MCKV)"
"Store Dept.","Printing & Stationary","Files & Folders","PLASTIC FOLDER (PLAIN)"
"Store Dept.","Printing & Stationary","Files & Folders","Plastic Folder Plain"
"","Accessories",,"PLASTIC GLASS"
"Store Dept.","Accessories","General","PLASTIC GUMLA"
"Store Dept.","Decoration","General","PLASTIC GUN"
"Store Dept.","Accessories","General","PLASTIC JHURI  (TRAY)"
"","Accessories",,"PLASTIC JHURI ( BIG )"
"","Accessories",,"PLASTIC JHURI (MEDIUM)"
"Store Dept.","Accessories","General","PLASTIC JHURI (SMALL)"
"Store Dept.","Accessories","General","PLASTIC JUG"
"Store Dept.","Accessories","General","PLASTIC MAT"
"Store Dept.","Gift","General","PLASTIC MEMENTO"
"Maintenance Dept.","House Keeping","Cleaning","PLASTIC MUG"
"Store Dept.","Flag and Banner","Houses","PLASTIC PAPER FLAG (SMALL)"
"","House Keeping",,"PLASTIC PIPE"
"","Decoration",,"PLASTIC PUTHI"
"Store Dept.","Printing & Stationary","Office Stationeries","PLASTIC ROPE (DIFE.)"
"Store Dept.","Printing & Stationary","Office Stationeries","PLASTIC RULER"
"Store Dept.","Stationary","Saleable","PLASTIC RULLER (SMALL)"
"Store Dept.","Food & Beverage","Staff welfare","PLASTIC SPOON"
"Store Dept.","Decoration","General","PLASTIC TABLE COVER"
"Store Dept.","Gift","General","PLASTIC TIFFIN SET"
"Store Dept.","Accessories","General","PLASTIC TRAY (BIG)"
"Store Dept.","Accessories","General","PLASTIC TRAY (SMALL)"
"Store Dept.","Accessories","General","PLASTIC WATER BOTTLE (BLANK)"
"Store Dept.","Food & Beverage","Staff welfare","PLASTIC WATER GLASSES"
"","Accessories",,"PLAStTIC"
"Store Dept.","Gift","General","PLATINA IRIS PLATE (TWO PCS)"
"","Gift",,"PLATINA IRIS PLATE (TWO PCS)"
"","Office Stationery",,"PLAYING CARD"
"Store Dept.","Card and Certificate","General","PLEASANT REMEMBRANCES CARDS"
"Store Dept.","Gift","General","POCKET CHANGER"
"Store Dept.","Madhusthali","Madhusthali items","POCKET DIARY (Publicity Stationery)"
"Store Dept.","Flag and Banner","Houses","PODIUM BANNER (BLUE)"
"Store Dept.","Printing & Stationary","Pens","POINTEC GEL PEN (BLACK)"
"Store Dept.","Accessories","General","POLY PACKET BLACK (BIG)"
"Store Dept.","Accessories","General","POLY PACKET BLACK (Medium)"
"Store Dept.","Accessories","General","POLY PACKET BLACK (SMALL)"
"Store Dept.","Accessories","General","POLY PACKET WHITE (Medium)"
"Store Dept.","Accessories","General","POLY PACKET WHITE (SMALL)"
"Store Dept.","Accessories","General","POLY PACKET WHITE BIG"
"Store Dept.","Printing & Stationary","Classrooms","POP UP TOASTER"
"Store Dept.","Madhusthali","Madhusthali items","POSTER"
"Store Dept.","Printing & Stationary","Colours","POSTER COLOUR - DIFE (BIG)"
"Store Dept.","Printing & Stationary","Colours","POSTER COLOUR -DIFE. (SMALL)"
"Store Dept.","Printing & Stationary","Colours","POSTER COLOUR 6 SHADES"
"Store Dept.","Printing & Stationary","Colours","POSTER COLOUR BIG (YELLOW)"
"Store Dept.","Printing & Stationary","Colours","POUTCH WITH SEALING TAPE"
"Store Dept.","Printing & Stationary","Colours","POWDER COLOUR DUST (ORANGE)"
"","Office Stationery",,"PRAYEAR BOOK (NEW)"
"Store Dept.","Stationary","Saleable","PRAYER BOOK (NEW)"
"Store Dept.","Stationary","Saleable","PRAYER BOOK (OLD)"
"Store Dept.","Badges","Prefects","PREFECT (BLUE)"
"Store Dept.","Badges","Prefects","PREFECT (GREEN)"
"Store Dept.","Badges","Prefects","PREFECT (RED)"
"Store Dept.","Badges","Prefects","PREFECT (YELLOW)"
